,University,State Code,Student Health Center,Found by Algorithm,Terms Found,Number of Clicks,URL of page mention was found on,Path,Whether womens/birth control/sexual issues related section present on SHC,Womens Health/Contraception Related Sections,Womens Health/Contraception Related Section Links,Whether Womens Health/Contraception Related Ext Resources,Womens Health/Contraception Related Ext Resources,,,
101,University of Delaware,DE,http://www1.udel.edu/studenthealth/,TRUE,['depo-provera'],2,http://sites.udel.edu/studenthealth/women/,"['http://www1.udel.edu/studenthealth/', 'Services', 'Explore Women’s Health']",TRUE,"[""Women's and Men's Health"", 'Explore Women’s Health', 'Sexual Offense Support']","['https://sites.udel.edu/studenthealth/services/#womenmen', 'http://sites.udel.edu/studenthealth/women/', 'http://sites.udel.edu/sos']",FALSE,[],,,
102,University of Hawaii at Hilo,HI,https://hilo.hawaii.edu/studentaffairs/health/,TRUE,['depo-provera'],1,https://hilo.hawaii.edu/studentaffairs/health/services.php,"['https://hilo.hawaii.edu/studentaffairs/health/', 'Services']",FALSE,[],[],FALSE,[],,,
103,University of Houston,TX,https://www.uh.edu/healthcenter/,TRUE,['depo-provera'],1,https://www.uh.edu/healthcenter/services/medical-services/womens-clinic/,"['https://www.uh.edu/healthcenter/', ""Women's Clinic""]",TRUE,"[""Women's Clinic"", 'Sexual Misconduct', 'Sexual Misconduct Reporting and Awareness']","['https://www.uh.edu/healthcenter/services/medical-services/womens-clinic/', 'https://www.uh.edu/equal-opportunity/titleIX-sexual-misconduct/what-is-titleIX/', 'http://www.uh.edu/equal-opportunity/titleIX-sexual-misconduct/']",TRUE,['http://www.womenshealth.gov/minority-health/'],,,
104,University of Illinois at Springfield,IL,https://www.uis.edu/healthservices/,TRUE,"['depo-provera', 'control shot']",1,https://www.uis.edu/healthservices/services/,"['https://www.uis.edu/healthservices/', 'Services / Costs to Students']",FALSE,[],[],TRUE,"['http://www.plannedparenthood.org/health-info/birth-control/birth-control-shot-depo-provera', 'http://www.plannedparenthood.org/planned-parenthood-st-louis-region-southwest-missouri/shadow-pages/health-services/emergency-contraception', 'https://www.plannedparenthood.org/learn/womens-health/pap-tests-hpv-tests']",,,
105,University of Louisville,KY,http://louisville.edu/campushealth,TRUE,['iud'],2,http://louisville.edu/campushealth/resources/patient-health,"['http://louisville.edu/campushealth', 'RESOURCES', 'Patient Health']",TRUE,"['Sexual Health and Contraception', 'Sexual Health & Contraception', 'Emergency Contraception', 'Sexually Transmitted Infection: Prevention, Evaluation and Treatment', 'Sexual Health & Relationships']","['http://louisville.edu/campushealth/services/medical-care/sexual-health-contraception', 'http://louisville.edu/campushealth/services/medical-care/sexual-health-contraception', 'http://louisville.edu/campushealth/emergencies/contraception', 'http://louisville.edu/campushealth/files/sexually-transmitted-infection', 'http://louisville.edu/healthpromotion/elements-of-wellbeing/sexual-health-relationships']",TRUE,"['http://www.plannedparenthood.org/', 'http://www.plannedparenthood.org/health-topics/birth-control-4211.htm', 'http://www.plannedparenthood.org/health-topics/emergency-contraception-morning-after-pill-4363.asp', 'http://www.plannedparenthood.org/health-topics/stds-hiv-safer-sex-101.htm']",,,
106,University of Maine at Farmington,ME,http://www2.umf.maine.edu/studenthealth/,TRUE,['depo-provera'],1,http://www2.umf.maine.edu/studenthealth/health-care-services/,"['http://www2.umf.maine.edu/studenthealth/', 'Health Care Services']",TRUE,"['Available Birth Control', 'Emergency Contraception (Morning After Pill)']","['http://www2.umf.maine.edu/studenthealth/available-birth-control/', 'http://www2.umf.maine.edu/studenthealth/emergency-contraception/']",FALSE,[],,,
107,University of Maryland Baltimore County,MD,https://www.umaryland.edu/studenthealth/services--hours/student-health-center/,TRUE,['iud'],0,https://www.umaryland.edu/studenthealth/services--hours/student-health-center/,['https://www.umaryland.edu/studenthealth/services--hours/student-health-center/'],FALSE,[],[],FALSE,[],,,
108,University of Maryland College Park,MD,http://health.umd.edu/,TRUE,"['depo provera', 'depo', 'provera', 'iud']",1,https://health.umd.edu/medical-behavioral-health/womens-health,"['http://health.umd.edu/', ""Women's Health""]",TRUE,"[""Women's Health"", 'Sexual Health', 'Office of Civil Rights and Sexual Misconduct ']","['https://health.umd.edu/medical-behavioral-health/womens-health', 'https://health.umd.edu/wellness-advocacy/sexual-health', 'https://www.ocrsm.umd.edu/']",TRUE,['https://www.plannedparenthood.org/online-tools/chat'],,,
109,University of Maryland University College,MD,http://health.umd.edu/,TRUE,"['depo provera', 'depo', 'provera', 'iud']",1,https://health.umd.edu/medical-behavioral-health/womens-health,"['http://health.umd.edu/', ""Women's Health""]",TRUE,"[""Women's Health"", 'Sexual Health', 'Office of Civil Rights and Sexual Misconduct ']","['https://health.umd.edu/medical-behavioral-health/womens-health', 'https://health.umd.edu/wellness-advocacy/sexual-health', 'https://www.ocrsm.umd.edu/']",TRUE,['https://www.plannedparenthood.org/online-tools/chat'],,,
110,University of Massachusetts Amherst,MA,https://www.umass.edu/uhs/,TRUE,['iud'],2,https://www.umass.edu/uhs/services/pharmacy/contraception,"['https://www.umass.edu/uhs/', 'Online prescription refills', 'Protection and Contraception']",TRUE,"['Protection and Contraception', ""Women's Health Clinic"", 'Sexual Health, STIs and HIV', 'Sexual Assault Nurse Examiner']","['https://www.umass.edu/uhs/services/pharmacy/contraception', 'https://www.umass.edu/uhs/node/199/', 'https://www.umass.edu/uhs/services-and-programs/medical-care/sexual-health-stis-and-hiv', 'https://www.umass.edu/uhs/services/sane']",FALSE,[],,,
111,University of Michigan Ann Arbor,MI,https://www.uhs.umich.edu/,TRUE,['iud'],2,https://www.uhs.umich.edu/contraception-home,"['https://www.uhs.umich.edu/', 'Health & Wellness', 'Contraception Education Program']",TRUE,"[""Women's Health Clinic"", 'Resources for Sexual Health', 'Contraception Education Program', 'Urinary Tract Infections in Women', ""Women's Health"", ""Routine Women's Health Exams at UHS"", 'Sexual health', 'Sexual Assault Services', 'Contraception', 'Emergency Contraception', 'Sexual Assault Awareness and Prevention Center', 'Sexperteam', ""UHS Women's Health Clinic"", ""Women's health (gynecology)"", ""Routine Women's Health Exams"", 'Sexual Health', 'University of Georgia Sexual Health Site', 'UHS Emergency Contraception', 'Sexual assault / domestic violence', 'Sexual decision-making', 'Sexual difficulties', 'Sexually transmitted infections / diseases', 'Safer Sex Supplies', 'U-M Sexual Assault Prevention and Awareness Center', 'Sexual Assault and Rape (Brown University)', 'Contraceptive choices']","['https://www.uhs.umich.edu/women', 'https://www.uhs.umich.edu/sxhresources', 'https://www.uhs.umich.edu/contraception-home', 'https://www.uhs.umich.edu/uti', 'https://www.uhs.umich.edu/tags/womens-health', 'https://www.uhs.umich.edu/womensexam', 'https://www.uhs.umich.edu/tags/sexual-health', 'https://www.uhs.umich.edu/sexual-assault-exam', 'https://www.uhs.umich.edu/contraception', 'https://www.uhs.umich.edu/emergencycontraception', 'http://www.sapac.umich.edu/', 'https://www.uhs.umich.edu/sexperteam', 'http://www.uhs.umich.edu/women', 'https://www.uhs.umich.edu/sxhresources#womens', 'http://www.uhs.umich.edu/womensexam', 'https://www.uhs.umich.edu/sexual-health', 'http://www.uhs.uga.edu/sexualhealth/index.html', 'http://www.uhs.umich.edu/emergencycontraception', 'https://www.uhs.umich.edu/sxhresources#assault', 'https://www.uhs.umich.edu/sxhresources#decision', 'https://www.uhs.umich.edu/sxhresources#difficulties', 'https://www.uhs.umich.edu/sxhresources#sti', 'https://www.uhs.umich.edu/sss', 'http://sapac.umich.edu/', 'http://www.brown.edu/Student_Services/Health_Services/Health_Education/sexual_assault/home.htm', 'https://www.uhs.umich.edu/sxhresources#choices']",TRUE,"['http://www.plannedparenthood.org/info-for-teens/', 'http://www.plannedparenthood.org/planned-parenthood-mid-south-michigan/', 'http://www.plannedparenthood.org/midsouthmi', 'http://www.plannedparenthood.org/health-info/men/', 'http://www.smartersex.org/', 'http://www.plannedparenthood.org/health-info/womens-health/']",,,
112,University of Minnesota Duluth,MN,http://d.umn.edu/health-services,TRUE,"['inject contracept', 'depo provera', 'depo', 'provera']",1,http://d.umn.edu/health-services/medical-services,"['http://d.umn.edu/health-services', 'Medical Services']",FALSE,[],[],FALSE,[],,,
113,University of Missouri Kansas City,MO,https://info.umkc.edu/studenthealth/,TRUE,"['depo-provera', 'intrauterin devic']",1,https://info.umkc.edu/studenthealth/services/,"['https://info.umkc.edu/studenthealth/', 'Services and Fees\nThe Student Health and Wellness clinic offers a broad range of student services.\nlearn more']",FALSE,[],[],FALSE,[],,,
114,University of New Hampshire at Manchester,NH,https://www.unh.edu/health/,TRUE,['intrauterin devic'],2,https://www.unh.edu/health/services/emergency-contraception-available-unh-health-services,"['https://www.unh.edu/health/', 'HEALTH ALERT: Gastrointestinal Virus (""Stomach Bug"")', 'Emergency Contraception']",TRUE,"[""Women's Health"", 'Emergency Contraception', ""Women's Annual Exams"", 'Contraception Video', 'Sex']","['https://www.unh.edu/health/services/womens-health', 'https://www.unh.edu/health/services/emergency-contraception-available-unh-health-services', 'https://www.unh.edu/health/womens-annual-exams', 'https://www.unh.edu/health/contraception', 'https://www.unh.edu/health/well/sex']",FALSE,[],,,
115,University of New Hampshire Main Campus,NH,https://www.unh.edu/health/,TRUE,['intrauterin devic'],2,https://www.unh.edu/health/services/emergency-contraception-available-unh-health-services,"['https://www.unh.edu/health/', 'HEALTH ALERT: Gastrointestinal Virus (""Stomach Bug"")', 'Emergency Contraception']",TRUE,"[""Women's Health"", 'Emergency Contraception', ""Women's Annual Exams"", 'Contraception Video', 'Sex']","['https://www.unh.edu/health/services/womens-health', 'https://www.unh.edu/health/services/emergency-contraception-available-unh-health-services', 'https://www.unh.edu/health/womens-annual-exams', 'https://www.unh.edu/health/contraception', 'https://www.unh.edu/health/well/sex']",FALSE,[],,,
116,University of North Dakota,ND,https://www1.und.edu/health-wellness/student-health/,TRUE,['iud'],0,https://www1.und.edu/health-wellness/student-health/,['https://www1.und.edu/health-wellness/student-health/'],FALSE,[],[],FALSE,[],,,
117,University of North Florida,FL,https://www.unf.edu/shs/,TRUE,['depo-provera'],2,https://www.unf.edu/uploadedFiles/sa/shs/RELEASE%20OF%20MEDICAL%20RECORDS(1).doc,"['https://www.unf.edu/shs/', 'National College Health Assessment', 'Medical Records Release Form']",TRUE,"[""Women's Health""]",['https://www.unf.edu/shs/Women_s_Health.aspx'],FALSE,[],,,
118,University of North Texas,TX,https://studentaffairs.unt.edu/student-health-and-wellness-center,TRUE,"['intrauterin devic', 'depo-provera']",1,https://studentaffairs.unt.edu/student-health-and-wellness-center/services/gynecological-health,"['https://studentaffairs.unt.edu/student-health-and-wellness-center', 'Gynecological Care']",TRUE,['Gynecological Care'],['https://studentaffairs.unt.edu/student-health-and-wellness-center/services/gynecological-health'],FALSE,[],,,
119,University of North Texas at Dallas,TX,https://studentaffairs.unt.edu/student-health-and-wellness-center,TRUE,['depo-provera'],1,https://studentaffairs.unt.edu/student-health-and-wellness-center/services/gynecological-health,"['https://studentaffairs.unt.edu/student-health-and-wellness-center', 'Gynecological Care']",TRUE,['Gynecological Care'],['https://studentaffairs.unt.edu/student-health-and-wellness-center/services/gynecological-health'],FALSE,[],,,
120,University of Northern Iowa,IA,https://health.uni.edu/,TRUE,['depo-provera'],0,https://health.uni.edu/,['https://health.uni.edu/'],FALSE,[],[],FALSE,[],,,
121,University of Oklahoma Norman Campus,OK,http://www.ou.edu/healthservices,TRUE,['iud'],2,http://www.ou.edu/healthservices/medical-services/womenscenter,"['http://www.ou.edu/healthservices', 'Medical Services', 'Womens Center']",TRUE,['Womens Center'],['http://www.ou.edu/healthservices/medical-services/womenscenter'],TRUE,"['https://www.bedsider.org/methods/side_by_side', 'https://www.bedsider.org/questions/256-what-s-the-difference-between-the-iuds', 'http://www.plannedparenthood.org/learn/birth-control/iud']",,,
122,University of Pittsburgh Pittsburgh Campus,PA,https://www.studentaffairs.pitt.edu/shs/,TRUE,['depo-provera'],2,https://www.studentaffairs.pitt.edu/shs/immunization/ongoing-healthcare/,"['https://www.studentaffairs.pitt.edu/shs/', 'IMMUNIZATION SERVICES', 'ONGOING HEALTHCARE']",TRUE,"['CARING FOR VICTIMS OF SEXUAL ASSAULT', 'WOMEN’S HEALTH']","['https://www.studentaffairs.pitt.edu/shs/share/', 'https://www.studentaffairs.pitt.edu/shs/medical/womens/']",FALSE,[],,,
123,University of South Carolina Columbia,SC,https://sc.edu/about/offices_and_divisions/student_health_services/,TRUE,['depo-provera'],1,https://sc.edu/about/offices_and_divisions/student_health_services/medical-services/womens-health/index.php,"['https://sc.edu/about/offices_and_divisions/student_health_services/', ""Women's Health\nAccess a full range of women's health care services, including tests, contraceptives and pregnancy counseling.""]",TRUE,"[""Women's Health\nAccess a full range of women's health care services, including tests, contraceptives and pregnancy counseling."", 'Stop Sexual Assault']","['https://sc.edu/about/offices_and_divisions/student_health_services/medical-services/womens-health/index.php', 'https://www.sc.edu/about/initiatives/safety/stop_sexual_assault/index.php']",FALSE,[],,,
124,University of South Florida Main Campus,FL,https://www.usf.edu/student-affairs/student-health-services/,TRUE,"['iud', 'contracept implant', 'control inject']",2,https://www.usf.edu/student-affairs/student-health-services/services/sexualhealth.aspx,"['https://www.usf.edu/student-affairs/student-health-services/', 'SERVICES', 'Sexual Health & Contraceptives']",TRUE,['Sexual Health & Contraceptives'],['https://www.usf.edu/student-affairs/student-health-services/services/sexualhealth.aspx'],TRUE,"['http://www.ashasexualhealth.org/sexual-health/mens-health/', 'http://www.plannedparenthood.org/health-topics/body-image-23374.htm', 'http://www.plannedparenthood.org/health-topics/birth-control/abstinence-4215.htm', 'http://www.plannedparenthood.org/health-topics/stds-hiv-safer-sex-101.htm', 'http://www.womenshealth.gov/publications/our-publications/fact-sheet/pap-test.html', 'http://www.womenshealth.gov/publications/our-publications/fact-sheet/birth-control-methods.html', 'https://www.bedsider.org/', 'https://www.plannedparenthood.org/learn/birth-control', 'https://www.bedsider.org/features']",,,
125,University of South Florida St Petersburg,FL,https://www.usfsp.edu/wellness/health/,TRUE,"['iud', 'depo']",0,https://www.usfsp.edu/wellness/health/,['https://www.usfsp.edu/wellness/health/'],FALSE,[],[],FALSE,[],,,
126,University of Southern Indiana,IN,https://www.usi.edu/healthcenter/,TRUE,"['depo provera', 'depo', 'provera']",2,https://www.usi.edu/healthcenter/services/womens-health/,"['https://www.usi.edu/healthcenter/', 'Services', ""Women's Health""]",TRUE,"[""Women's Health"", 'Sexual Assault Programs']","['https://www.usi.edu/healthcenter/services/womens-health/', 'https://www.usi.edu/healthcenter/resources/sexual-assault-programs/']",FALSE,[],,,
127,University of Southern Maine,ME,https://usm.maine.edu/uhcs/health-services,TRUE,['depo'],1,https://usm.maine.edu/uhcs/emergency-contraception,"['https://usm.maine.edu/uhcs/health-services', 'Emergency Contraception']",TRUE,['Emergency Contraception'],['https://usm.maine.edu/uhcs/emergency-contraception'],FALSE,[],,,
128,University of Vermont,VT,https://www.uvm.edu/health/SHS,TRUE,"['depo-provera', 'iud']",0,https://www.uvm.edu/health/SHS,['https://www.uvm.edu/health/SHS'],FALSE,[],[],FALSE,[],,,
129,University of Washington Seattle Campus,WA,https://www.washington.edu/studentlife/health/,TRUE,['iud'],3,http://depts.washington.edu/hhpccweb/project/safer-sex-supplies/,"['https://www.washington.edu/studentlife/health/', 'EXPLORE SERVICES', 'SERVICES', 'Safer Sex Supplies']",TRUE,"['Women', 'Sexual Health & Birth Control', 'Women’s Health', 'Safer Sex Supplies']","['http://depts.washington.edu/hhpccweb/health-resource-category/womens-health/', 'http://depts.washington.edu/hhpccweb/health-resource-category/sexual-health-birth-control/', 'http://depts.washington.edu/hhpccweb/project/womens/', 'http://depts.washington.edu/hhpccweb/project/safer-sex-supplies/']",TRUE,"['http://www.plannedparenthood.org/health-topics/stds-hiv-safer-sex-101.htm', 'https://www.plannedparenthood.org/learn/birth-control', 'https://www.plannedparenthood.org/learn/birth-control/internal-condom/how-do-i-use-an-internal-condom']",,,
130,University of Wisconsin Eau Claire,WI,https://www.uwec.edu/student-health-service/,TRUE,"['depo provera', 'depo', 'provera', 'iud']",2,https://www.uwec.edu/student-health-service/services/,"['https://www.uwec.edu/student-health-service/', 'Health Clinic', 'Services + Fees']",FALSE,[],[],TRUE,"['https://www.plannedparenthood.org/', 'https://www.bedsider.org/']",,,
131,University of Wisconsin Green Bay,WI,https://www.uwgb.edu/counseling-health/,TRUE,"['depo provera', 'depo', 'provera']",1,https://www.uwgb.edu/counseling-health/reproductive-health-services/,"['https://www.uwgb.edu/counseling-health/', 'Reproductive Health Services']",FALSE,[],[],FALSE,[],,,
132,University of Wisconsin La Crosse,WI,https://www.uwlax.edu/student-health-center/,TRUE,['depo'],2,https://www.uwlax.edu/student-health-center/fees--costs/,"['https://www.uwlax.edu/student-health-center/', 'Who can use the Student Health Center?\nexpanding section', 'Health Center User Fee']",TRUE,"['Gynecological & Reproductive Services\nexpanding section', 'LGBTQ+ Health & Sexuality Services\nexpanding section', 'HIV & Sexually-Transmitted Infections (STI) Testing / Walk-In STI Clinic\nexpanding section']","['https://www.uwlax.edu/student-health-center/services/#tm-gynecological---reproductive-services', 'https://www.uwlax.edu/student-health-center/services/#tm-lgbtq--health---sexuality-services', 'https://www.uwlax.edu/student-health-center/services/#tm-hiv---sexually-transmitted-infections--sti--testing---walk-in-sti-clinic']",FALSE,[],,,
133,University of Wisconsin Madison,WI,https://www.uhs.wisc.edu/,TRUE,['iud'],3,https://www.uhs.wisc.edu/front/contraception-2/,"['https://www.uhs.wisc.edu/', 'University Health Services', 'Lakeshore Drop-In Clinic (Medical)', 'Women’s Health Clinic offers many contraception options']",TRUE,"['Sexual assault »', 'Women’s health', 'Sexual health', 'Sexually transmitted infections (STI)', 'Sexual violence', 'Sexual Assault Awareness Month 2019', 'Women’s Health Clinic offers many contraception options', 'Resources for pregnant women', 'Contraception & pregnancy prevention', 'Emergency Contraception', 'Sexual assault/unwanted sexual encounter', ""Women's Health Clinic"", 'What to Expect at the Sexual Health Clinic', 'Sexually transmitted infections (STIs)', 'HIV Testing at the Sexual Health Clinic', 'Sexual Health Clinic', 'Campus Climate Survey on Sexual Assault and Sexual Misconduct', 'Sexual Violence']","['https://www.uhs.wisc.edu/prevention/violence-prevention/emergency/', 'https://www.uhs.wisc.edu/medical/womens-health/', 'https://www.uhs.wisc.edu/medical/sexual-health/', 'https://www.uhs.wisc.edu/medical/common-student-concerns/sti/', 'https://www.uhs.wisc.edu/prevention/violence-prevention/sexual-assault/', 'https://www.uhs.wisc.edu/prevention/violence-prevention/saam2019/', 'https://www.uhs.wisc.edu/front/contraception-2/', 'https://www.uhs.wisc.edu/medical/resources-for-pregnant-women/', 'https://www.uhs.wisc.edu/medical/womens-health-contraception/', 'https://www.uhs.wisc.edu/emergencies/contraception/', 'https://www.uhs.wisc.edu/medical/sexual-assaultunwanted-sexual-encounter/', 'https://www.uhs.wisc.edu/medical/womens-health/', 'https://www.uhs.wisc.edu/medical/sexual-health/what-to-expect-at-the-sexual-health-clinic/', 'https://www.uhs.wisc.edu/medical/sexual-health/sti/', 'https://www.uhs.wisc.edu/medical/sexual-health/hiv-testing-faqs/', 'https://www.uhs.wisc.edu/medical/sexual-health/', 'https://www.uhs.wisc.edu/aau-survey/', 'https://www.uhs.wisc.edu/prevention/violence-prevention/sexual-assault/']",TRUE,"['http://www.ashasexualhealth.org/sexual-health/ask-the-experts/herpes/', 'http://www.ashasexualhealth.org/stdsstis/hpv/', 'http://www.ashasexualhealth.org/stdsstis/hpv/genital-warts/', 'http://www.ashasexualhealth.org/stdsstis/hiv/', 'http://www.ashasexualhealth.org/stdsstis/crabs/', 'http://www.ashasexualhealth.org/stdsstis/ngu/', 'http://www.ashasexualhealth.org/sexual-health/all-about-condoms/', 'http://www.ashasexualhealth.org/stdsstis/reduce-your-risk/', 'http://www.ashasexualhealth.org/stdsstis/get-tested/', 'https://www.plannedparenthood.org/learn/birth-control/condom', 'https://www.bedsider.org/methods/iud#details_tab']",,,
134,University of Wisconsin Oshkosh,WI,https://uwosh.edu/studenthealth/,TRUE,"['depo provera', 'depo', 'provera', 'depo-provera']",2,https://uwosh.edu/studenthealth/medical-care/,"['https://uwosh.edu/studenthealth/', 'Services', 'Medical Care']",FALSE,[],[],TRUE,['http://www.plannedparenthood.org/health-topics/birth-control-4211.htm'],,,
135,University of Wisconsin Parkside,WI,https://www.uwp.edu/live/services/studenthealth/,TRUE,"['depo provera', 'depo', 'provera']",2,https://www.uwp.edu/live/services/studenthealth/healthservices.cfm,"['https://www.uwp.edu/live/services/studenthealth/', 'Health Alerts', 'Health Services']",TRUE,"['Sexual Assault', 'Sexual Misconduct Information']","['https://www.uwp.edu/live/services/studenthealth/sexassault.cfm', 'https://www.uwp.edu/live/offices/studentaffairs/sexual-misconduct/']",TRUE,['http://www.plannedparenthood.org/ec/index.html'],,,
136,University of Wisconsin River Falls,WI,https://www.uwrf.edu/StudentHealthAndCounseling,TRUE,"['depo-provera', 'intrauterin devic']",1,https://www.uwrf.edu/StudentHealthAndCounseling/StudentHealthServices/PCRHS.cfm,"['https://www.uwrf.edu/StudentHealthAndCounseling', 'Pierce County Reproductive Health in River Falls']",TRUE,['Sexual/Intimate Partner Violence Prevention and Advocacy'],['https://www.uwrf.edu/StudentHealthAndCounseling/CVA.cfm'],FALSE,[],,,
137,University of Wisconsin Superior,WI,https://www.uwsuper.edu/shcs/index.cfm,TRUE,"['depo provera', 'depo', 'provera']",1,https://www.uwsuper.edu/shcs/physicalhealth/hcc.cfm,"['https://www.uwsuper.edu/shcs/index.cfm', 'Health Care Clinic/Sexual Health']",TRUE,['Health Care Clinic/Sexual Health'],['https://www.uwsuper.edu/shcs/physicalhealth/hcc.cfm'],FALSE,[],,,
138,University of Wisconsin Whitewater,WI,http://www.uww.edu/uhcs/,TRUE,['depo'],2,http://www.uww.edu/uhcs/fees,"['http://www.uww.edu/uhcs/', 'WELLNESS SERVICES', 'Health Service Fees']",TRUE,"['Sexual Assault Prevention Training', 'Sexual Assault and Harassment', 'UW-W Sexual Misconduct', ""Women's Health"", 'Sexual and Reproductive Health', 'Birth Control Methods', 'Emergency Contraception (aka ""The Morning After Pill"")', 'Sexually Transmitted Infections']","['http://www.uww.edu/uhcs/wellness-information/sexual-assault-prevention-training', 'http://www.uww.edu/uhcs/counseling-services/sexual-assault-and-harassment', 'http://www.uww.edu/sexual-misconduct-information', 'http://www.uww.edu/uhcs/wellness-information/az/womens-health', 'http://www.uww.edu/uhcs/wellness-information/az/sexual-and-reproductive-health', 'http://www.uww.edu/uhcs/wellness-information/az/birth-control', 'http://www.uww.edu/uhcs/wellness-information/az/emergency-contraception', 'http://www.uww.edu/uhcs/wellness-information/az/sti']",FALSE,[],,,
139,Utah Valley University,UT,https://www.uvu.edu/studenthealth/,TRUE,"['iud', 'depoprovera']",1,https://www.uvu.edu/studenthealth/medical/,"['https://www.uvu.edu/studenthealth/', ' \nMEDICAL\nSERVICES']",FALSE,[],[],TRUE,['http://www.womenshealth.gov/'],,,
140,Virginia Commonwealth University,VA,https://health.students.vcu.edu/,TRUE,"['depo provera', 'depo', 'provera']",1,http://www.students.vcu.edu/health/services/pharmacy-services/,"['https://health.students.vcu.edu/', 'Student Health Pharmacy']",TRUE,['Sexual Health & Wellness'],['https://students.vcu.edu/health/services/clinical-services/sexual-health--wellness/'],FALSE,[],,,
141,Virginia Polytechnic Institute and State University,VA,https://www.healthcenter.vt.edu/,TRUE,"['depo provera', 'depo', 'provera', 'iuc']",2,https://healthcenter.vt.edu/ourservices/womens_clinic.html,"['https://www.healthcenter.vt.edu/', 'SERVICES', ""Women's Clinic""]",TRUE,"[""Women's Clinic""]",['https://healthcenter.vt.edu/ourservices/womens_clinic.html'],FALSE,[],,,
142,Washburn University,KS,https://washburn.edu/student-life/services/health-services/,TRUE,"['depo provera', 'depo', 'provera', 'iud']",1,https://washburn.edu/student-life/services/health-services/health-links.html,"['https://washburn.edu/student-life/services/health-services/', 'Health Links']",FALSE,[],[],TRUE,"['http://www.womenshealth.gov/publications/our-publications/fact-sheet/vaginal-yeast-infections.html', 'http://www.plannedparenthood.org/health-topics/birth-control/iud-4245.htm', 'http://www.plannedparenthood.org/health-topics/emergency-contraception-morning-after-pill-4363.asp', 'http://www.plannedparenthood.org/']",,,
143,Washington State University,WA,https://cougarhealth.wsu.edu/,TRUE,"['intrauterin devic', 'iud', 'depo-provera']",1,https://cougarhealth.wsu.edu/medical-clinic/services/,"['https://cougarhealth.wsu.edu/', 'Medical Clinic']",TRUE,"['Help us facilitate ‘Booze, Sex and Reality Checks’ for incoming students', 'Booze, Sex, and Reality Checks (BSRC)']","['https://cougarhealth.wsu.edu/2019/03/28/help-us-facilitate-booze-sex-reality-checks-incoming-students/', 'https://cougarhealth.wsu.edu/bsrc/']",FALSE,[],,,
144,West Chester University of Pennsylvania,PA,https://www.wcupa.edu/_services/stu.inf/,TRUE,"['depo', 'provera']",2,https://www.wcupa.edu/_services/stu.inf/services.aspx,"['https://www.wcupa.edu/_services/stu.inf/', 'Clinical Services', 'Our Services']",TRUE,"['Center for Women and Gender Equality', 'Sexual Assault Care', 'Asia Adams Violence Against Women Grant', 'Commission on the Status of Women', 'Institute for Women', ""Women's and Gender Studies"", ""History of the Women's Center"", 'CONTACT CENTER FOR WOMEN AND GENDER EQUITY  ', 'Report Sexual Misconduct']","['https://www.wcupa.edu/_services/Stu.wce/default.aspx', 'https://www.wcupa.edu/_services/stu.inf/sexualAssault.aspx', 'https://www.wcupa.edu/_services/Stu.wce/asiaAdams.aspx', 'https://www.wcupa.edu/womensCommission/default.aspx', 'https://www.wcupa.edu/_services/Stu.wce/instituteForWomen.aspx', 'https://www.wcupa.edu/arts-humanities/womensStudies/default.aspx', 'https://www.wcupa.edu/_services/Stu.wce/history.aspx', 'https://www.wcupa.edu/_services/Stu.wce/default.aspx#contact', 'https://www.wcupa.edu/_admin/diversityEquityInclusion/sexualMisconduct/wantToReport.aspx']",TRUE,['http://www.plannedparenthood.org/health-center/pennsylvania/west-chester/19382/west-chester-health-center-3356-91460'],,,
145,West Virginia University Institute of Technology,WV,https://students.wvutech.edu/health-wellness/student-health-clinic,TRUE,"['depo provera', 'depo', 'provera']",0,https://students.wvutech.edu/health-wellness/student-health-clinic,['https://students.wvutech.edu/health-wellness/student-health-clinic'],FALSE,[],[],FALSE,[],,,
146,Western Illinois University,IL,http://www.wiu.edu/student_services/beu_health_center,TRUE,['control inject'],1,http://www.wiu.edu/student_services/beu_health_center/services/index.php,"['http://www.wiu.edu/student_services/beu_health_center', 'Services']",TRUE,"[""Women's Center""]",['http://www.wiu.edu/wc'],FALSE,[],,,
147,Western Michigan University,MI,https://wmich.edu/healthcenter,TRUE,['depo-provera'],2,https://wmich.edu/healthcenter/clinic/services,"['https://wmich.edu/healthcenter', 'CLINIC AND NURSING', 'SERVICES']",TRUE,"['Sexual Health Peer Education', 'Fire Sexual Assault Peer Education', 'FIRE SEXUAL ASSAULT PEER EDUCATION AND FIRE PLACE', 'SEXUAL ASSAULT PREVENTION AND EDUCATION']","['https://wmich.edu/healthcenter/healthpromotion/sexual-health', 'https://wmich.edu/healthcenter/healthpromotion/fireplace/peer-fire', 'https://wmich.edu/healthcenter/healthpromotion/fireplace', 'https://wmich.edu/healthcenter/healthpromotion/prevention']",FALSE,[],,,
